Record_ID,State,District,Crop,Season,Year,Soil_Type,N_kg_ha,P_kg_ha,K_kg_ha,pH,Avg_Temperature_C,Humidity_pct,Rainfall_mm,Fertilizer_Used_kg_ha,Yield_tons_per_ha
1149,Maharashtra,Pune,Wheat,Rabi,2022,Black Soil,20,8,6,5.08,35.9,70.0,149.1,20.8,1.05
1150,Maharashtra,Pune,Rice,Kharif,2022,Black Soil,21,11,4,4.12,36.3,70.0,139.4,2.6,0.1
1151,Maharashtra,Pune,Maize,Kharif,2022,Black Soil,75,40,22,7.57,25.8,70.0,916.1,83.7,2.7
1152,Maharashtra,Pune,Cotton,Kharif,2022,Black Soil,87,46,59,7.42,24.7,70.0,342.1,149.7,2.59
1153,Tamil Nadu,Thanjavur,Wheat,Rabi,2022,Red Loam,132,58,30,6.58,27.5,70.0,765.4,196.9,4.1
1154,Tamil Nadu,Thanjavur,Rice,Kharif,2022,Red Loam,93,50,57,6.82,19.1,70.0,736.5,151.4,3.86
1155,Tamil Nadu,Thanjavur,Maize,Kharif,2022,Red Loam,97,47,39,6.56,29.2,70.0,361.3,114.6,3.58
1156,Tamil Nadu,Thanjavur,Cotton,Kharif,2022,Red Loam,90,61,28,7.05,29.9,70.0,647.9,139.3,2.47
1157,Andhra Pradesh,Kurnool,Wheat,Rabi,2022,Red Soil,129,60,39,7.38,27.7,70.0,907.6,172.6,4.36
1158,Andhra Pradesh,Kurnool,Rice,Kharif,2022,Red Soil,12,3,10,4.52,40.8,70.0,114.1,29.3,0.31
1159,Andhra Pradesh,Kurnool,Maize,Kharif,2022,Red Soil,25,18,7,4.91,38.5,70.0,67.5,22.9,1.12
1160,Andhra Pradesh,Kurnool,Cotton,Kharif,2022,Red Soil,73,45,40,6.56,23.3,70.0,654.3,99.3,2.38
1161,Punjab,Ludhiana,Wheat,Rabi,2023,Alluvial,104,75,52,7.34,29.9,70.0,340.7,186.4,4.56
1162,Punjab,Ludhiana,Rice,Kharif,2023,Alluvial,93,44,45,7.29,26.3,70.0,370.7,117.6,3.46
1163,Punjab,Ludhiana,Maize,Kharif,2023,Alluvial,75,44,41,7.68,23.1,70.0,668.9,87.9,3.12
1164,Punjab,Ludhiana,Cotton,Kharif,2023,Alluvial,75,52,36,7.66,23.0,70.0,307.7,128.0,2.36
1165,Punjab,Patiala,Wheat,Rabi,2023,Alluvial,119,54,43,7.16,20.9,70.0,308.5,165.0,4.4
1166,Punjab,Patiala,Rice,Kharif,2023,Alluvial,16,9,12,4.15,37.3,70.0,65.0,14.6,0.28
1167,Punjab,Patiala,Maize,Kharif,2023,Alluvial,43,35,21,6.92,27.4,70.0,968.7,75.3,2.64
1168,Punjab,Patiala,Cotton,Kharif,2023,Alluvial,67,58,46,7.45,28.7,70.0,761.5,145.8,2.44
1169,Uttar Pradesh,Kanpur,Wheat,Rabi,2023,Alluvial,107,61,28,7.22,18.5,70.0,776.2,157.1,4.18
1170,Uttar Pradesh,Kanpur,Rice,Kharif,2023,Alluvial,21,1,1,4.02,37.5,70.0,123.8,28.7,0.1
1171,Uttar Pradesh,Kanpur,Maize,Kharif,2023,Alluvial,63,29,35,7.56,18.3,70.0,485.5,97.0,2.97
1172,Uttar Pradesh,Kanpur,Cotton,Kharif,2023,Alluvial,64,27,34,7.28,25.7,70.0,842.2,71.7,2.04
1173,Uttar Pradesh,Varanasi,Wheat,Rabi,2023,Alluvial,120,53,49,7.02,27.0,70.0,707.7,166.4,4.62
1174,Uttar Pradesh,Varanasi,Rice,Kharif,2023,Alluvial,10,18,3,4.56,39.3,70.0,93.9,13.0,0.35
1175,Uttar Pradesh,Varanasi,Maize,Kharif,2023,Alluvial,80,36,32,6.95,28.3,70.0,871.2,88.7,3.4
1176,Uttar Pradesh,Varanasi,Cotton,Kharif,2023,Alluvial,76,42,37,7.48,25.9,70.0,843.5,117.0,2.46
1177,West Bengal,Hooghly,Wheat,Rabi,2023,Alluvial,126,60,39,6.47,24.1,70.0,449.5,186.2,4.39
1178,West Bengal,Hooghly,Rice,Kharif,2023,Alluvial,106,67,52,7.28,28.5,70.0,782.2,168.1,3.81
1179,West Bengal,Hooghly,Maize,Kharif,2023,Alluvial,77,44,27,6.49,19.2,70.0,994.3,124.6,3.16
1180,West Bengal,Hooghly,Cotton,Kharif,2023,Alluvial,68,45,56,6.62,27.4,70.0,548.8,86.1,2.46
1181,West Bengal,Bardhaman,Wheat,Rabi,2023,Clay Loam,91,48,35,5.95,28.6,70.0,805.4,117.1,3.25
1182,West Bengal,Bardhaman,Rice,Kharif,2023,Clay Loam,71,32,34,6.58,18.8,70.0,749.6,88.3,3.34
1183,West Bengal,Bardhaman,Maize,Kharif,2023,Clay Loam,127,58,46,6.49,24.0,70.0,877.5,164.0,3.98
1184,West Bengal,Bardhaman,Cotton,Kharif,2023,Clay Loam,1,6,11,5.06,38.1,70.0,101.7,23.7,0.1
1185,Maharashtra,Nashik,Wheat,Rabi,2023,Black Soil,102,59,38,8.25,29.2,70.0,998.8,158.7,3.63
1186,Maharashtra,Nashik,Rice,Kharif,2023,Black Soil,137,46,52,8.14,24.9,70.0,568.7,169.2,3.49
1187,Maharashtra,Nashik,Maize,Kharif,2023,Black Soil,96,41,12,7.9,23.2,70.0,481.5,126.6,2.87
1188,Maharashtra,Nashik,Cotton,Kharif,2023,Black Soil,69,28,39,7.86,23.2,70.0,647.5,85.7,2.18
1189,Maharashtra,Pune,Wheat,Rabi,2023,Black Soil,135,50,43,7.73,18.8,70.0,969.6,193.4,4.28
1190,Maharashtra,Pune,Rice,Kharif,2023,Black Soil,95,53,47,7.25,23.4,70.0,831.6,123.6,3.62
1191,Maharashtra,Pune,Maize,Kharif,2023,Black Soil,27,2,7,4.62,35.2,70.0,140.0,10.4,0.22
1192,Maharashtra,Pune,Cotton,Kharif,2023,Black Soil,81,45,24,7.34,24.8,70.0,438.7,128.9,2.21
1193,Tamil Nadu,Thanjavur,Wheat,Rabi,2023,Red Loam,121,63,31,6.71,28.2,70.0,475.7,165.0,4.18
1194,Tamil Nadu,Thanjavur,Rice,Kharif,2023,Red Loam,79,50,54,7.01,19.0,70.0,680.5,121.6,3.59
1195,Tamil Nadu,Thanjavur,Maize,Kharif,2023,Red Loam,64,39,25,7.4,18.7,70.0,681.8,121.7,2.77
1196,Tamil Nadu,Thanjavur,Cotton,Kharif,2023,Red Loam,76,53,33,6.56,24.2,70.0,829.7,111.2,2.24
1197,Andhra Pradesh,Kurnool,Wheat,Rabi,2023,Red Soil,112,65,43,7.09,24.5,70.0,936.5,163.1,4.44
1198,Andhra Pradesh,Kurnool,Rice,Kharif,2023,Red Soil,105,42,45,7.44,27.5,70.0,501.0,140.3,3.37
1199,Andhra Pradesh,Kurnool,Maize,Kharif,2023,Red Soil,113,45,37,7.04,27.5,70.0,787.1,130.7,3.87
1200,Andhra Pradesh,Kurnool,Cotton,Kharif,2023,Red Soil,73,35,30,7.23,28.6,70.0,358.4,131.9,2.13
1201,Punjab,Ludhiana,Wheat,Rabi,2019,Alluvial,130,60,42,7.39,28.6,70.0,416.2,195.2,4.64
1202,Punjab,Ludhiana,Rice,Kharif,2019,Alluvial,123,75,55,7.5,28.3,70.0,431.2,185.9,4.08
1203,Punjab,Ludhiana,Maize,Kharif,2019,Alluvial,126,43,26,6.81,23.9,70.0,550.5,157.9,3.8
1204,Punjab,Ludhiana,Cotton,Kharif,2019,Alluvial,60,34,48,7.56,22.2,70.0,399.4,83.6,2.22
1205,Punjab,Patiala,Wheat,Rabi,2019,Alluvial,135,72,24,7.97,25.6,70.0,985.4,191.1,4.22
1206,Punjab,Patiala,Rice,Kharif,2019,Alluvial,20,6,10,4.1,36.6,70.0,135.6,5.2,0.16
1207,Punjab,Patiala,Maize,Kharif,2019,Alluvial,105,41,49,7.3,21.6,70.0,323.2,127.6,3.73
1208,Punjab,Patiala,Cotton,Kharif,2019,Alluvial,83,47,46,7.24,26.0,70.0,935.0,133.1,2.58
1209,Uttar Pradesh,Kanpur,Wheat,Rabi,2019,Alluvial,123,71,38,6.55,19.3,70.0,983.8,192.5,4.42
1210,Uttar Pradesh,Kanpur,Rice,Kharif,2019,Alluvial,98,47,54,7.07,27.0,70.0,937.5,146.9,3.88
1211,Uttar Pradesh,Kanpur,Maize,Kharif,2019,Alluvial,79,43,48,7.13,23.6,70.0,308.7,108.2,3.54
1212,Uttar Pradesh,Kanpur,Cotton,Kharif,2019,Alluvial,47,50,31,7.33,28.7,70.0,715.3,100.5,2.22
